player,elo_global,elo_Hard,elo_Clay,elo_Grass
John Isner,1816.1782658951709,1744.3321707764585,1815.0857808072128,1702.46744697675
Mikhail Kukushkin,1717.6431600030892,1657.4896270375525,1614.000304355547,1586.2503261131028
Patricio Alvarado,1377.630218267856,1420.278204889927,1447.9180140198623,
Peter Gojowczyk,1611.7920132612794,1596.472512227448,1524.2777833942944,1543.719786664314
Gonzalo Escobar,1543.1898582512815,1567.5589439254231,1496.206184872801,
Illya Marchenko,1554.0380529718514,1551.6976134651045,1493.3611790040409,1464.5034122797092
Matthias Bachinger,1560.971486628711,1601.6529430535145,1508.1797501419078,1511.9899359292378
Lukas Rosol,1575.9196851401798,1562.953080648948,1526.8835886971383,1548.324709934279
Pedro Sousa,1670.892964360548,1415.7293334032342,1643.3563311284788,1459.031825411893
Attila Balazs,1641.836961888382,1512.1821963906716,1619.503238519794,1495.770901746699
Marius Copil,1572.7499545243445,1620.6258100066468,1476.4303876058373,1560.0388968873804
Kei Nishikori,1963.4316710928592,1918.0761406269075,1902.6944119255068,1691.0762303913257
Daniel Evans,1814.823002322444,1784.1579835199773,1621.6219399837444,1567.4109218407937
N Sriram Balaji,1507.932214085063,1434.3369262945437,1520.3784920322987,1504.1750026648656
Yuichi Sugita,1546.2930734376118,1567.4276337768192,1456.8051967486,1514.215977571443
Marcelo Arevalo,1618.330676731285,1575.772544131517,1636.8115253213489,1416.2044774882888
Jonathan Eysseric,1442.6950563444975,1357.3962844013606,1511.5127310605023,1457.3212921335123
Daniel Dutra Da Silva,1527.010701268705,1453.6246382623249,1486.8995500242652,
Fernando Romboli,1357.7856970754676,1403.097594596217,1350.063536384083,1476.2982325413532
Tiago Lopes,1418.0474427283912,1408.1665958556807,1456.8143705466755,
Guido Pella,1796.3742269317963,1733.7301616083896,1684.8102842954925,1582.4401994081863
Cesar Ramirez,1381.406709868421,1385.0950515321872,1466.6975356082446,
Manuel Sanchez,1439.596017059118,1441.4464900070968,1431.922307852043,1485.0
Roberto Bautista Agut,1946.8636502368288,1837.1596837583213,1784.605249176166,1710.212043191791
Albert Ramos,1678.6295237289037,1632.331441596344,1647.523800613328,1416.660345502796
Jose Pereira,1522.1454374622513,1458.2039125882443,1516.653159131182,
Marcelo Demoliner,1476.166105973486,1455.1019707347618,1458.8861949057605,1483.478242729301
Guilherme Clezar,1588.299409875479,1522.1898848466296,1580.8187310324208,1424.0896035797807
Marsel Ilhan,1526.1771282129816,1536.634643556033,1531.1336260805658,1483.0664520189782
Daniel Cox,1593.455702853711,1560.580670079626,1508.024311561279,1451.9371576310043
Mirza Basic,1577.539666424081,1525.949845218561,1567.5227735301942,1400.8531216014362
Denys Molchanov,1533.1819920832402,1533.2771030454876,1484.8602139101308,1497.4325089998224
Divij Sharan,1365.7639151020414,1399.3729095943845,1454.9658154130068,1447.6323472687743
Milos Raonic,1991.8085278085352,1937.1156674335875,1907.4474083736256,1740.9662050773866
Vasek Pospisil,1605.0582674092896,1573.7098621229563,1436.2691209299694,1482.3741830209867
Alessandro Giannessi,1543.881663391464,1490.2816978236435,1524.3878337940134,1411.1575853498916
Evgeny Donskoy,1535.5866465138631,1517.3145707900508,1501.4475981650369,1452.2654624922452
Vladimir Uzhylovsky,1350.484738328984,1449.7213550937518,1360.267473099742,
Zhe Li,1610.9076623369542,1587.7543014192504,1447.0061701739517,1466.314620951508
Yan Bai,1603.8434522232644,1569.911593098563,1510.8430550953804,1483.2487177168457
Yuki Bhambri,1684.8443995410182,1671.4568617710795,1482.874092722636,1477.6089182098528
Tatsuma Ito,1500.5732922208156,1508.6060232047846,1364.405135233617,1491.8763491920818
Henri Laaksonen,1512.9224986097347,1608.6805924671798,1511.2937365180087,1373.353005009654
John Patrick Smith,1524.6641774350128,1509.2394354726207,1438.705359266717,1521.0317908658913
Prajnesh Gunneswaran,1566.949263500812,1553.915099157848,1477.0688781603264,1414.0826824729893
Maxime Chazal,1444.621382537292,1388.2993791861577,1467.1464187414172,
Bernard Tomic,1638.7971454169558,1591.1962775955212,1566.2593694943532,1559.8348567733676
Ricardas Berankis,1597.7460630711455,1550.5342662714186,1637.101934872823,1564.2953933117406
Benoit Paire,1552.666167630137,1544.437673525231,1580.0209016544911,1522.855301662024
Filip Krajinovic,1699.8540484498335,1679.285108652359,1683.8143147477276,1531.6784877956147
Deni Zmak,1476.4265175281912,1496.9464429141528,1477.6220692341226,
Aldin Setkic,1480.411586191512,1532.2221571189948,1440.9106494291352,1398.3765537038655
Ryan Harrison,1590.155189360668,1574.447980370328,1566.0254397958026,1456.9319954573232
Joao Sousa,1629.6605245544956,1623.9818187519647,1568.67157959282,1486.2741383655305
Goncalo Falcao,1371.5610705330184,1491.1068725693908,1375.116354694018,
Roman Jebavy,1430.323366137506,1461.021088861921,1448.115528459509,1484.325876884968
Steven Diez,1503.711388015353,1482.242283731571,1498.409898676438,1423.9988748907988
Grigor Dimitrov,2082.2162617799145,2022.678972992164,1894.0820656909489,1682.8754131030587
Jeremy Jahn,1528.2466596375752,1459.7637181351297,1532.8002902914864,1476.917528176904
Federico Gaio,1584.3792270159263,1510.20636461369,1600.5812477581117,1477.2535889712592
Cedrik Marcel Stebe,1651.0524290989297,1640.0905231869442,1626.493165481357,1464.646867220454
Evan King,1372.8302265498774,1416.0787738179754,1374.8281279327489,1403.683694550767
Andrey Kuznetsov,1624.6496356108146,1589.6122748228788,1671.3003387104222,1524.9588328075274
Gerald Melzer,1616.1279321582524,1535.5036270943124,1603.01882235671,1494.5142921737213
Andrej Martin,1604.4262692433208,1456.291853266225,1568.374526641348,1394.0995731132562
Inigo Cervantes Huegun,1494.6132097973682,1506.4226288069387,1492.0895774487344,1473.3606293974349
Aleksandr Nedovyesov,1548.624042105492,1552.3013761298666,1537.6190355626693,1466.2423881604575
Blaz Rola,1608.9743428066845,1569.3857526215716,1595.520905667326,1483.6031554208437
Juan Sebastian Gomez,1469.5429576745505,1431.7573725724314,1478.1425657502675,
Yannick Mertens,1437.822697778089,1431.0484296351092,1403.3869636270852,1483.225349531139
Hiroki Moriya,1596.0819161233687,1571.8306318474556,1408.98787368164,1496.5407906984478
David Goffin,1956.853472128508,1873.769924097435,1756.365797625496,1662.3021067455595
Pierre Hugues Herbert,1692.5736127226044,1661.29631399411,1599.5498453178832,1565.5025189612484
Emilio Gomez,1517.4782725360146,1564.1436335325493,1475.3018294742476,1420.1132859084958
Nikoloz Basilashvili,1706.153610677167,1636.3755669693812,1673.7329910275105,1578.7807972657674
N Vijay Sundar Prashanth,1417.941404463103,1444.2047398373209,1435.4148848635484,1474.3358680650022
John Millman,1749.1000363850023,1687.2524902788075,1640.0767667414675,1546.200510102779
Victor Nunez,1372.331475326755,1484.3800240144965,1379.1833321273225,
Marco Trungelliti,1693.1734309702429,1620.9991362316766,1692.9064896984264,1439.1603078062574
Andrea Collarini,1664.541897887982,1410.960908597673,1644.9836573987209,1432.134752752993
Dayne Kelly,1547.3033018576689,1533.6662673084056,1493.6422970224112,1494.9502743905468
Francis Casey Alcantara,1485.5065453250088,1475.4928945013835,1522.7935582839757,
Federico Delbonis,1649.6318756665748,1552.269689368935,1636.6771365687057,1364.7568230878217
Javier Marti,1563.4099797087044,1515.0821672172156,1540.6164413647866,1505.26660682444
Dusan Lajovic,1800.2147800664782,1662.7920190605028,1814.9309524305847,1416.5614852799242
Jan Lennard Struff,1977.4095542278765,1783.5947401040644,1923.322754067285,1618.5552186944635
Liam Broady,1606.6705061875157,1572.2711909470602,1549.6508153775935,1494.061528527062
